,Index,Coding Question #,Question Identifier,Question Type,Question Label,Question Text,Question Response,Answer Value
216,84,coding7_q84,v29.1_2020(16),breakout-option,"['[ 16 ] - Social Media Data [User profile and data from a social media website/app or other third party service to which the user gave the first party access, e.g., by connecting with Facebook, twitter, or other services. Exchanged data may include user profile, photos, comments, friends, etc.]']","['[ 16 ] - Social Media Data [User profile and data from a social media website/app or other third party service to which the user gave the first party access, e.g., by connecting with Facebook, twitter, or other services. Exchanged data may include user profile, photos, comments, friends, etc.]']",SELECT THIS FIELD,1
217,84,coding7_q84,v29.1_2020(16),breakout-option,"['[ 16 ] - Social Media Data [User profile and data from a social media website/app or other third party service to which the user gave the first party access, e.g., by connecting with Facebook, twitter, or other services. Exchanged data may include user profile, photos, comments, friends, etc.]']","['[ 16 ] - Social Media Data [User profile and data from a social media website/app or other third party service to which the user gave the first party access, e.g., by connecting with Facebook, twitter, or other services. Exchanged data may include user profile, photos, comments, friends, etc.]']",(unselect),0
218,86,coding7_q86,PLACEHOLDER(0),breakout-option,['[ 0 ] - no'],['[ 0 ] - no'],SELECT THIS FIELD,1
219,86,coding7_q86,PLACEHOLDER(0),breakout-option,['[ 0 ] - no'],['[ 0 ] - no'],(unselect),0
220,87,coding7_q87,PLACEHOLDER(1),breakout-option,['[ 1 ] - perform service/functionality [collected user information is only stored as long as it is needed to perform the requested service.]'],['[ 1 ] - perform service/functionality [collected user information is only stored as long as it is needed to perform the requested service.]'],SELECT THIS FIELD,1
221,87,coding7_q87,PLACEHOLDER(1),breakout-option,['[ 1 ] - perform service/functionality [collected user information is only stored as long as it is needed to perform the requested service.]'],['[ 1 ] - perform service/functionality [collected user information is only stored as long as it is needed to perform the requested service.]'],(unselect),0
222,88,coding7_q88,PLACEHOLDER(2),breakout-option,['[ 2 ] - to comply with the law [Collected data is only stored as long as required for legal or law enforcement purposes.] [GDPR allowed]'],['[ 2 ] - to comply with the law [Collected data is only stored as long as required for legal or law enforcement purposes.] [GDPR allowed]'],SELECT THIS FIELD,1
223,88,coding7_q88,PLACEHOLDER(2),breakout-option,['[ 2 ] - to comply with the law [Collected data is only stored as long as required for legal or law enforcement purposes.] [GDPR allowed]'],['[ 2 ] - to comply with the law [Collected data is only stored as long as required for legal or law enforcement purposes.] [GDPR allowed]'],(unselect),0
224,89,coding7_q89,PLACEHOLDER(3),breakout-option,"['[ 3 ] - analytics/research [For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research]']","['[ 3 ] - analytics/research [For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research]']",SELECT THIS FIELD,1
225,89,coding7_q89,PLACEHOLDER(3),breakout-option,"['[ 3 ] - analytics/research [For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research]']","['[ 3 ] - analytics/research [For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research]']",(unselect),0
226,90,coding7_q90,PLACEHOLDER(4),breakout-option,"['[ 4 ] - service operation and security [For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, etc]']","['[ 4 ] - service operation and security [For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, etc]']",SELECT THIS FIELD,1
227,90,coding7_q90,PLACEHOLDER(4),breakout-option,"['[ 4 ] - service operation and security [For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, etc]']","['[ 4 ] - service operation and security [For website/app operation and security, enforcement of terms of service, fraud prevention, protecting users and property, etc]']",(unselect),0
228,91,coding7_q91,PLACEHOLDER(5),breakout-option,['[ 5 ] - advertising [To show ads that are either targeted to the specific user or not targeted]'],['[ 5 ] - advertising [To show ads that are either targeted to the specific user or not targeted]'],SELECT THIS FIELD,1
229,91,coding7_q91,PLACEHOLDER(5),breakout-option,['[ 5 ] - advertising [To show ads that are either targeted to the specific user or not targeted]'],['[ 5 ] - advertising [To show ads that are either targeted to the specific user or not targeted]'],(unselect),0
230,92,coding7_q92,PLACEHOLDER(6),breakout-option,"['[ 6 ] - marketing [To contact the user to offer products, services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information.]']","['[ 6 ] - marketing [To contact the user to offer products, services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information.]']",SELECT THIS FIELD,1
231,92,coding7_q92,PLACEHOLDER(6),breakout-option,"['[ 6 ] - marketing [To contact the user to offer products, services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information.]']","['[ 6 ] - marketing [To contact the user to offer products, services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information.]']",(unselect),0
232,93,coding7_q93,PLACEHOLDER(7),breakout-option,['[ 7 ] - other'],['[ 7 ] - other'],SELECT THIS FIELD,1
233,93,coding7_q93,PLACEHOLDER(7),breakout-option,['[ 7 ] - other'],['[ 7 ] - other'],(unselect),0
234,95,coding7_q95,v29.3._2020(0),breakout-option,['[ 0 ] - No (no sharing with third parties)'],['[ 0 ] - No (no sharing with third parties)'],SELECT THIS FIELD,1
235,95,coding7_q95,v29.3._2020(0),breakout-option,['[ 0 ] - No (no sharing with third parties)'],['[ 0 ] - No (no sharing with third parties)'],(unselect),0
236,96,coding7_q96,v29.3._2020(1),breakout-option,"['[ 1 ] - Received/Shared with by firm/first party [The third party receives information from the first party. (i.e., the first party explicitly shares data with third-party]']","['[ 1 ] - Received/Shared with by firm/first party [The third party receives information from the first party. (i.e., the first party explicitly shares data with third-party]']",SELECT THIS FIELD,1
237,96,coding7_q96,v29.3._2020(1),breakout-option,"['[ 1 ] - Received/Shared with by firm/first party [The third party receives information from the first party. (i.e., the first party explicitly shares data with third-party]']","['[ 1 ] - Received/Shared with by firm/first party [The third party receives information from the first party. (i.e., the first party explicitly shares data with third-party]']",(unselect),0
238,97,coding7_q97,v29.3._2020(2),breakout-option,"['[ 2 ] - Collect on first party website/app [The third party explicitly collects data from users on the first party website/app, e.g., by functionality on the website/app that allows users to directly provide information to the third party, such as social media sharing buttons or commenting form]']","['[ 2 ] - Collect on first party website/app [The third party explicitly collects data from users on the first party website/app, e.g., by functionality on the website/app that allows users to directly provide information to the third party, such as social media sharing buttons or commenting form]']",SELECT THIS FIELD,1
239,97,coding7_q97,v29.3._2020(2),breakout-option,"['[ 2 ] - Collect on first party website/app [The third party explicitly collects data from users on the first party website/app, e.g., by functionality on the website/app that allows users to directly provide information to the third party, such as social media sharing buttons or commenting form]']","['[ 2 ] - Collect on first party website/app [The third party explicitly collects data from users on the first party website/app, e.g., by functionality on the website/app that allows users to directly provide information to the third party, such as social media sharing buttons or commenting form]']",(unselect),0
240,98,coding7_q98,v29.3._2020(3),breakout-option,"['[ 3 ] - Track on first party website/app [The third party implicitly collects data about users directly on the first party website/app, typically without the user being aware of it, e.g., by tracking users with cookies, beacons, third party ad libraries, or other functionality.</description>]']","['[ 3 ] - Track on first party website/app [The third party implicitly collects data about users directly on the first party website/app, typically without the user being aware of it, e.g., by tracking users with cookies, beacons, third party ad libraries, or other functionality.</description>]']",SELECT THIS FIELD,1
241,98,coding7_q98,v29.3._2020(3),breakout-option,"['[ 3 ] - Track on first party website/app [The third party implicitly collects data about users directly on the first party website/app, typically without the user being aware of it, e.g., by tracking users with cookies, beacons, third party ad libraries, or other functionality.</description>]']","['[ 3 ] - Track on first party website/app [The third party implicitly collects data about users directly on the first party website/app, typically without the user being aware of it, e.g., by tracking users with cookies, beacons, third party ad libraries, or other functionality.</description>]']",(unselect),0
242,99,coding7_q99,v29.3._2020(4),breakout-option,['[ 4 ] - Other [How the third party collects or receives user information is specified in the policy but it is not covered by the options above]'],['[ 4 ] - Other [How the third party collects or receives user information is specified in the policy but it is not covered by the options above]'],SELECT THIS FIELD,1
243,99,coding7_q99,v29.3._2020(4),breakout-option,['[ 4 ] - Other [How the third party collects or receives user information is specified in the policy but it is not covered by the options above]'],['[ 4 ] - Other [How the third party collects or receives user information is specified in the policy but it is not covered by the options above]'],(unselect),0
244,100,coding7_q100,v29.3._2020(5),breakout-option,"['[ 5 ] - See [Third-party can see user information that is publicly available either on the website/app or somewhere else. Remember, a third-party can be another user of the website/app. The difference to “receive” is that the information is available but not explicitly given to a specific third party.]']","['[ 5 ] - See [Third-party can see user information that is publicly available either on the website/app or somewhere else. Remember, a third-party can be another user of the website/app. The difference to “receive” is that the information is available but not explicitly given to a specific third party.]']",SELECT THIS FIELD,1
245,100,coding7_q100,v29.3._2020(5),breakout-option,"['[ 5 ] - See [Third-party can see user information that is publicly available either on the website/app or somewhere else. Remember, a third-party can be another user of the website/app. The difference to “receive” is that the information is available but not explicitly given to a specific third party.]']","['[ 5 ] - See [Third-party can see user information that is publicly available either on the website/app or somewhere else. Remember, a third-party can be another user of the website/app. The difference to “receive” is that the information is available but not explicitly given to a specific third party.]']",(unselect),0
246,101,coding7_q101,v29.3._2020(6),breakout-option,"['[ 6 ] - Unspecified [The type of collection is not specified (i.e., DND) or unclear, e.g., “Our outside partners collect your personal information” without further specification whether the collection occurs on a website, app, offline, etc.']","['[ 6 ] - Unspecified [The type of collection is not specified (i.e., DND) or unclear, e.g., “Our outside partners collect your personal information” without further specification whether the collection occurs on a website, app, offline, etc.']",SELECT THIS FIELD,1
247,101,coding7_q101,v29.3._2020(6),breakout-option,"['[ 6 ] - Unspecified [The type of collection is not specified (i.e., DND) or unclear, e.g., “Our outside partners collect your personal information” without further specification whether the collection occurs on a website, app, offline, etc.']","['[ 6 ] - Unspecified [The type of collection is not specified (i.e., DND) or unclear, e.g., “Our outside partners collect your personal information” without further specification whether the collection occurs on a website, app, offline, etc.']",(unselect),0
248,102,coding7_q102,v30_2020,multiselect,Sharing - Consent,"What is the consent mechanism for sharing/selling PII with third parties, excluding data processors and service providers (i.e., those that provide services effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?","[ 0 ] - Don't use service/feature (i.e., user must stop using service, terminate account, leave page)/mandatory [Only option is not to use the feature or service. Only select this if explicitly stated in policy (i.e., don't interpret silence as ""Don't use website or feature"").</description>]",0
249,102,coding7_q102,v30_2020,multiselect,Sharing - Consent,"What is the consent mechanism for sharing/selling PII with third parties, excluding data processors and service providers (i.e., those that provide services effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?","[ 1 ] - Opt-out [The default is for the user to share PII with third parties, but the PP gives the user the opportunity to opt out]",1
250,102,coding7_q102,v30_2020,multiselect,Sharing - Consent,"What is the consent mechanism for sharing/selling PII with third parties, excluding data processors and service providers (i.e., those that provide services effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?","[ 2 ] - opt-in, [User must consent before data can be shared with or collected/used by third party]",2
251,102,coding7_q102,v30_2020,multiselect,Sharing - Consent,"What is the consent mechanism for sharing/selling PII with third parties, excluding data processors and service providers (i.e., those that provide services effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?","[ 3 ] - Opt-out link [Link provided in privacy policy, on website, in mobile app, or in email, etc.]",3
252,102,coding7_q102,v30_2020,multiselect,Sharing - Consent,"What is the consent mechanism for sharing/selling PII with third parties, excluding data processors and service providers (i.e., those that provide services effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?","[ 4 ] - Opt-out via contacting company, [Must contact company/organization via email, phone, postal mail to opt-out]",4
253,102,coding7_q102,v30_2020,multiselect,Sharing - Consent,"What is the consent mechanism for sharing/selling PII with third parties, excluding data processors and service providers (i.e., those that provide services effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?",[ 5 ] - First-party privacy controls (might have to go to site to check to see if collection is an option) [Website/app provides user settings for privacy configuration],5
254,102,coding7_q102,v30_2020,multiselect,Sharing - Consent,"What is the consent mechanism for sharing/selling PII with third parties, excluding data processors and service providers (i.e., those that provide services effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?","[ 6 ] - , Third-party privacy controls, [Choices provided by a third party (e.g., privacy settings on social media site, if logged in through social media site) or industry (e.g., AdChoices Opt-out)]",6
255,102,coding7_q102,v30_2020,multiselect,Sharing - Consent,"What is the consent mechanism for sharing/selling PII with third parties, excluding data processors and service providers (i.e., those that provide services effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?","[ 7 ] - Browser/device privacy controls (if the PP specifies this as an option the user can adopt)[Policy suggests the use of browser’s or mobile device’s privacy settings, e.g., to block trackers or cookies, activate Do-Not-Track, disable location sharing, clear history, etc.</description>]",7
256,102,coding7_q102,v30_2020,multiselect,Sharing - Consent,"What is the consent mechanism for sharing/selling PII with third parties, excluding data processors and service providers (i.e., those that provide services effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?","[ 8 ] - Other, [Other specific user choice or control option not captured above.]",8
257,102,coding7_q102,v30_2020,multiselect,Sharing - Consent,"What is the consent mechanism for sharing/selling PII with third parties, excluding data processors and service providers (i.e., those that provide services effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?",[ DND ] - does not disclose,DND
258,103,coding7_q103,v30.1_2020,multiselect,Sharing - Consent,What is the choice scope regarding third parties' collection and use of personal information? (excluding entities that are service providers/processors),[ 0 ] - no choice,0
259,103,coding7_q103,v30.1_2020,multiselect,Sharing - Consent,What is the choice scope regarding third parties' collection and use of personal information? (excluding entities that are service providers/processors),[ 1 ] - Collection [Choices apply to collection by or sharing with third party only],1
260,103,coding7_q103,v30.1_2020,multiselect,Sharing - Consent,What is the choice scope regarding third parties' collection and use of personal information? (excluding entities that are service providers/processors),"[ 2 ] - Use, [Choices apply to use by third party only.]",2
261,103,coding7_q103,v30.1_2020,multiselect,Sharing - Consent,What is the choice scope regarding third parties' collection and use of personal information? (excluding entities that are service providers/processors),[ 3 ] - Both [Choices apply to both collection/sharing and us],3
262,103,coding7_q103,v30.1_2020,multiselect,Sharing - Consent,What is the choice scope regarding third parties' collection and use of personal information? (excluding entities that are service providers/processors),[ DND ] - does not disclose,DND
263,103,coding7_q103,v30.1_2020,multiselect,Sharing - Consent,What is the choice scope regarding third parties' collection and use of personal information? (excluding entities that are service providers/processors),[ N/A ] ,N/A
264,104,coding7_q104,v31_2020,multiselect,Sharing - Consent,"What is consent mechanism for sharing/selling PII or sensitive information to entities that aren't service providers (except for the purpose of effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?",[ 0 ] - mandatory or does not disclose,0
265,104,coding7_q104,v31_2020,multiselect,Sharing - Consent,"What is consent mechanism for sharing/selling PII or sensitive information to entities that aren't service providers (except for the purpose of effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?","[ 1 ] - opt-out  [The default is for the user to share PII with third parties, but the PP gives the user the opportunity to opt out]",1
266,104,coding7_q104,v31_2020,multiselect,Sharing - Consent,"What is consent mechanism for sharing/selling PII or sensitive information to entities that aren't service providers (except for the purpose of effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?",[ 2 ] - opt-in [User must consent before data can be shared with or collected/used by third party],2
267,104,coding7_q104,v31_2020,multiselect,Sharing - Consent,"What is consent mechanism for sharing/selling PII or sensitive information to entities that aren't service providers (except for the purpose of effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)?",[ . ] - N/A (applicable if firm does not engage in this practice),.
268,105,coding7_q105,v32_2020,multiselect,Notice - Change of Terms,PP has a Change of Terms (COT) provision that explicitly or implicitly allows entity to change agreement?,[ 0 ] - no,0
269,105,coding7_q105,v32_2020,multiselect,Notice - Change of Terms,PP has a Change of Terms (COT) provision that explicitly or implicitly allows entity to change agreement?,[ 1 ] - yes,1
270,106,coding7_q106,v33_2020,multiselect,Notice - Change of Terms,Users will be alerted to material changes to the PP?  (simply posting new policy constitutes no notice).,[ 0 ] - no (simply posting new policy = no notice),0
271,106,coding7_q106,v33_2020,multiselect,Notice - Change of Terms,Users will be alerted to material changes to the PP?  (simply posting new policy constitutes no notice).,[ 1 ] - yes,1
272,106,coding7_q106,v33_2020,multiselect,Notice - Change of Terms,Users will be alerted to material changes to the PP?  (simply posting new policy constitutes no notice).,[ . ] - n/a,.
273,106,coding7_q106,v33_2020,multiselect,Notice - Change of Terms,Users will be alerted to material changes to the PP?  (simply posting new policy constitutes no notice).,[ DND ] - does not disclose,DND
274,108,coding7_q108,v34_2020(0),breakout-option,['[ 0 ] - no notice'],['[ 0 ] - no notice'],SELECT THIS FIELD,1
275,108,coding7_q108,v34_2020(0),breakout-option,['[ 0 ] - no notice'],['[ 0 ] - no notice'],(unselect),0
276,109,coding7_q109,v34_2020(1),breakout-option,"['[ 1 ] - ""at our discretion"" or similar or ""may""']","['[ 1 ] - ""at our discretion"" or similar or ""may""']",SELECT THIS FIELD,1
277,109,coding7_q109,v34_2020(1),breakout-option,"['[ 1 ] - ""at our discretion"" or similar or ""may""']","['[ 1 ] - ""at our discretion"" or similar or ""may""']",(unselect),0
278,110,coding7_q110,v34_2020(2),breakout-option,['[ 2 ] - link on homepage or notice+link on homepage'],['[ 2 ] - link on homepage or notice+link on homepage'],SELECT THIS FIELD,1
279,110,coding7_q110,v34_2020(2),breakout-option,['[ 2 ] - link on homepage or notice+link on homepage'],['[ 2 ] - link on homepage or notice+link on homepage'],(unselect),0
280,111,coding7_q111,v34_2020(3),breakout-option,"['[ 3 ] - email, notification upon signing into account, or other specific method likely to alert user']","['[ 3 ] - email, notification upon signing into account, or other specific method likely to alert user']",SELECT THIS FIELD,1
281,111,coding7_q111,v34_2020(3),breakout-option,"['[ 3 ] - email, notification upon signing into account, or other specific method likely to alert user']","['[ 3 ] - email, notification upon signing into account, or other specific method likely to alert user']",(unselect),0
282,112,coding7_q112,v34_2020(.),breakout-option,['[ . ] - n/a'],['[ . ] - n/a'],SELECT THIS FIELD,1
283,112,coding7_q112,v34_2020(.),breakout-option,['[ . ] - n/a'],['[ . ] - n/a'],(unselect),0
284,113,coding7_q113,v35_2020,multiselect,Notice - Change of Terms,PP requires user to explicitly assent to material changes?,[ 0 ] - no/ does't say,0
285,113,coding7_q113,v35_2020,multiselect,Notice - Change of Terms,PP requires user to explicitly assent to material changes?,[ 1 ] - yes,1
286,113,coding7_q113,v35_2020,multiselect,Notice - Change of Terms,PP requires user to explicitly assent to material changes?,[ . ] - N/A,.
287,114,coding7_q114,v36_2020,multiselect,Notice - Change of Terms,PP states that material changes are retroactive?,[ 0 ] - no,0
288,114,coding7_q114,v36_2020,multiselect,Notice - Change of Terms,PP states that material changes are retroactive?,[ 1 ] - yes (applies to data made before the change),1
289,115,coding7_q115,v36.1_2020,multiselect,Notice - Change of Terms,Is the user given a choice regarding acceptance of changed terms?,[ 0 ] - no,0
290,115,coding7_q115,v36.1_2020,multiselect,Notice - Change of Terms,Is the user given a choice regarding acceptance of changed terms?,[ 1 ] - Opt-out,1
291,115,coding7_q115,v36.1_2020,multiselect,Notice - Change of Terms,Is the user given a choice regarding acceptance of changed terms?,"[ 2 ] - Opt-in,",2
292,115,coding7_q115,v36.1_2020,multiselect,Notice - Change of Terms,Is the user given a choice regarding acceptance of changed terms?,"[ 3 ] - User participation (e.g., Facebook's voting procedure for significant changes),",3
293,115,coding7_q115,v36.1_2020,multiselect,Notice - Change of Terms,Is the user given a choice regarding acceptance of changed terms?,"[ 4 ] - Other,",4
294,115,coding7_q115,v36.1_2020,multiselect,Notice - Change of Terms,Is the user given a choice regarding acceptance of changed terms?,[ DND ] - does not disclose,DND
295,117,coding7_q117,v36.2_2020(0),breakout-option,['[ 0 ] - no opportunity for express consent'],['[ 0 ] - no opportunity for express consent'],SELECT THIS FIELD,1
296,117,coding7_q117,v36.2_2020(0),breakout-option,['[ 0 ] - no opportunity for express consent'],['[ 0 ] - no opportunity for express consent'],(unselect),0
297,118,coding7_q118,v36.2_2020(1),breakout-option,['[ 1 ] - when using consumer data in a materially different manner than claimed when the data was collected (FTC 2012 guidelines)'],['[ 1 ] - when using consumer data in a materially different manner than claimed when the data was collected (FTC 2012 guidelines)'],SELECT THIS FIELD,1
298,118,coding7_q118,v36.2_2020(1),breakout-option,['[ 1 ] - when using consumer data in a materially different manner than claimed when the data was collected (FTC 2012 guidelines)'],['[ 1 ] - when using consumer data in a materially different manner than claimed when the data was collected (FTC 2012 guidelines)'],(unselect),0
299,119,coding7_q119,v36.2_2020(2),breakout-option,['[ 2 ] - for material terms'],['[ 2 ] - for material terms'],SELECT THIS FIELD,1
300,119,coding7_q119,v36.2_2020(2),breakout-option,['[ 2 ] - for material terms'],['[ 2 ] - for material terms'],(unselect),0
301,120,coding7_q120,v36.2_2020(3),breakout-option,['[ 3 ] - for any changes'],['[ 3 ] - for any changes'],SELECT THIS FIELD,1
302,120,coding7_q120,v36.2_2020(3),breakout-option,['[ 3 ] - for any changes'],['[ 3 ] - for any changes'],(unselect),0
303,121,coding7_q121,v36.2_2020(4),breakout-option,['[ 4 ] - other'],['[ 4 ] - other'],SELECT THIS FIELD,1
304,121,coding7_q121,v36.2_2020(4),breakout-option,['[ 4 ] - other'],['[ 4 ] - other'],(unselect),0
305,122,coding7_q122,v37_2020,multiselect,User Control - Accuracy,Can users can adjust privacy settings?  [Double check on the website],[ 0 ] - no,0
306,122,coding7_q122,v37_2020,multiselect,User Control - Accuracy,Can users can adjust privacy settings?  [Double check on the website],[ 1 ] - yes,1
307,123,coding7_q123,v38_2020,multiselect,User Control - Accuracy,Are users allowed to access and correct/update personal data collected?,[ 0 ] - no,0
308,123,coding7_q123,v38_2020,multiselect,User Control - Accuracy,Are users allowed to access and correct/update personal data collected?,[ 1 ] - Can access data,1
309,123,coding7_q123,v38_2020,multiselect,User Control - Accuracy,Are users allowed to access and correct/update personal data collected?,[ 2 ] - Can access and correct data,2
310,123,coding7_q123,v38_2020,multiselect,User Control - Accuracy,Are users allowed to access and correct/update personal data collected?,"[ 3 ] - Can access and correct data, and 3rd parties notified of correction",3
311,124,coding7_q124,v37.2_2020,multiselect,User Control - Accuracy,"Can the user request that incorrect data be either rectified, updated, or erased?",[ 0 ] - no,0
312,124,coding7_q124,v37.2_2020,multiselect,User Control - Accuracy,"Can the user request that incorrect data be either rectified, updated, or erased?","[ 1 ] - yes, within 30 days [in compliance with GDPR]",1
313,124,coding7_q124,v37.2_2020,multiselect,User Control - Accuracy,"Can the user request that incorrect data be either rectified, updated, or erased?","[ 2 ] - yes, no time limit",2
314,124,coding7_q124,v37.2_2020,multiselect,User Control - Accuracy,"Can the user request that incorrect data be either rectified, updated, or erased?",[ DND ] - does not disclose,DND
315,126,coding7_q126,v37.1_2020(0),breakout-option,"['[ 0 ] - None,']","['[ 0 ] - None,']",SELECT THIS FIELD,1
316,126,coding7_q126,v37.1_2020(0),breakout-option,"['[ 0 ] - None,']","['[ 0 ] - None,']",(unselect),0
317,127,coding7_q127,v37.1_2020(1),breakout-option,"['[ 1 ] - View [Users can access their information, but not edit or delete it]']","['[ 1 ] - View [Users can access their information, but not edit or delete it]']",SELECT THIS FIELD,1
318,127,coding7_q127,v37.1_2020(1),breakout-option,"['[ 1 ] - View [Users can access their information, but not edit or delete it]']","['[ 1 ] - View [Users can access their information, but not edit or delete it]']",(unselect),0
319,128,coding7_q128,v37.1_2020(2),breakout-option,['[ 2 ] - Export (portability) [GDPR required] [Users can export their information to other services or download it to own computer.]'],['[ 2 ] - Export (portability) [GDPR required] [Users can export their information to other services or download it to own computer.]'],SELECT THIS FIELD,1
320,128,coding7_q128,v37.1_2020(2),breakout-option,['[ 2 ] - Export (portability) [GDPR required] [Users can export their information to other services or download it to own computer.]'],['[ 2 ] - Export (portability) [GDPR required] [Users can export their information to other services or download it to own computer.]'],(unselect),0
321,129,coding7_q129,v37.1_2020(3),breakout-option,['[ 3 ] - Edit information/correct [v38] [User can modify or delete specific information]'],['[ 3 ] - Edit information/correct [v38] [User can modify or delete specific information]'],SELECT THIS FIELD,1
322,129,coding7_q129,v37.1_2020(3),breakout-option,['[ 3 ] - Edit information/correct [v38] [User can modify or delete specific information]'],['[ 3 ] - Edit information/correct [v38] [User can modify or delete specific information]'],(unselect),0
323,130,coding7_q130,v37.1_2020(4),breakout-option,"['[ 4 ] - Deactivate account [User can deactivate account so that the user’s information is not visible to other users anymore, but the company/organization keeps all the data]']","['[ 4 ] - Deactivate account [User can deactivate account so that the user’s information is not visible to other users anymore, but the company/organization keeps all the data]']",SELECT THIS FIELD,1
324,130,coding7_q130,v37.1_2020(4),breakout-option,"['[ 4 ] - Deactivate account [User can deactivate account so that the user’s information is not visible to other users anymore, but the company/organization keeps all the data]']","['[ 4 ] - Deactivate account [User can deactivate account so that the user’s information is not visible to other users anymore, but the company/organization keeps all the data]']",(unselect),0
325,131,coding7_q131,v37.1_2020(5),breakout-option,"['[ 5 ] - Delete account (partial),[User can delete account, but the company/organization may continue to keep some of the user’s data]']","['[ 5 ] - Delete account (partial),[User can delete account, but the company/organization may continue to keep some of the user’s data]']",SELECT THIS FIELD,1
326,131,coding7_q131,v37.1_2020(5),breakout-option,"['[ 5 ] - Delete account (partial),[User can delete account, but the company/organization may continue to keep some of the user’s data]']","['[ 5 ] - Delete account (partial),[User can delete account, but the company/organization may continue to keep some of the user’s data]']",(unselect),0
327,132,coding7_q132,v37.1_2020(6),breakout-option,"['[ 6 ] - Delete account (full), [User can delete account and all of the user’s information is removed from company/organization’s servers/databases]']","['[ 6 ] - Delete account (full), [User can delete account and all of the user’s information is removed from company/organization’s servers/databases]']",SELECT THIS FIELD,1
328,132,coding7_q132,v37.1_2020(6),breakout-option,"['[ 6 ] - Delete account (full), [User can delete account and all of the user’s information is removed from company/organization’s servers/databases]']","['[ 6 ] - Delete account (full), [User can delete account and all of the user’s information is removed from company/organization’s servers/databases]']",(unselect),0
329,133,coding7_q133,v37.1_2020(7),breakout-option,"['[ 7 ] - Other[An access, edit, or delete option not covered above.]']","['[ 7 ] - Other[An access, edit, or delete option not covered above.]']",SELECT THIS FIELD,1
330,133,coding7_q133,v37.1_2020(7),breakout-option,"['[ 7 ] - Other[An access, edit, or delete option not covered above.]']","['[ 7 ] - Other[An access, edit, or delete option not covered above.]']",(unselect),0
331,134,coding7_q134,v39_2020,multiselect,User Control - User Control,Can user request that information be deleted or anonymized? ,[ 0 ] - no,0
332,134,coding7_q134,v39_2020,multiselect,User Control - User Control,Can user request that information be deleted or anonymized? ,"[ 1 ] - yes (partial) [User can delete/anonymize account, but the company/organization may continue to keep some of the user’s data]",1
333,134,coding7_q134,v39_2020,multiselect,User Control - User Control,Can user request that information be deleted or anonymized? ,[ 2 ] - yes (full) [User can delete account and all of the user’s information is removed from company/organization’s servers/databases.],2
334,136,coding7_q136,v39.9_2020(0),breakout-option,['[ 0 ] - No access'],['[ 0 ] - No access'],SELECT THIS FIELD,1
335,136,coding7_q136,v39.9_2020(0),breakout-option,['[ 0 ] - No access'],['[ 0 ] - No access'],(unselect),0
336,137,coding7_q137,v39.9_2020(1),breakout-option,"['[ 1 ] - User account data [Information explicitly provided by the user, such as contact,  demographic, and any other explicitly provided information that is part of the user’s profile/account. This includes user preferences and settings]']","['[ 1 ] - User account data [Information explicitly provided by the user, such as contact,  demographic, and any other explicitly provided information that is part of the user’s profile/account. This includes user preferences and settings]']",SELECT THIS FIELD,1
337,137,coding7_q137,v39.9_2020(1),breakout-option,"['[ 1 ] - User account data [Information explicitly provided by the user, such as contact,  demographic, and any other explicitly provided information that is part of the user’s profile/account. This includes user preferences and settings]']","['[ 1 ] - User account data [Information explicitly provided by the user, such as contact,  demographic, and any other explicitly provided information that is part of the user’s profile/account. This includes user preferences and settings]']",(unselect),0
